index,eval_sample,Cat,Interesting
10,"that
  appears within action menu items. 
  <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"".
  */
  public static final int actionMenuTextAppearance=0x7f010011;
  /** Color for text that appears within action menu items. 
  <p>May be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code",DO,
11,"LICENSES TO ANY PARTY'S PATENT RIGHTS ARE GRANTED BY THIS
 LICENSE. THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS
 ""AS IS"" AND ANY EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT LIMITED TO,
 THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESSFOR A PARTICULAR PURPOSE
 ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT OWNER OR CONTRIBUTORS BE LIABLE
 FOR ANY DIRECT, INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL
 DAMAGES (INCLUDING, BUT NOT LIMITED TO, PROCUREMENT OF SUBSTITUTE GOODS OR
 SERVICES; LOSS OF USE, DATA, OR PROFITS; OR BUSINESS INTERRUPTION) HOWEVER
 CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, STRICT LIABILITY, OR
 TORT (INCLUDING NEGLIGENCE OR",L,
12,"isStartTag() && StringUtil.in(t.asStartTag().name(), ""head"", ""noscript"")) || t.isEndTag()) {
  tb.error(this);
  return false;
  } else {
  return anythingElse(t, tb);
  }
  return true;
  }
 
  private boolean anythingElse(Token t, HtmlTreeBuilder tb) {
  tb.error(this);
  tb.process(new Token.EndTag(""noscript""));
  return tb.process(t);
  }
  },
  AfterHead {
  boolean process(Token t, HtmlTreeBuilder tb) {
  if (isWhitespace(t)) {
  tb.insert(t.asCharacter());
  } else",C,
13,"_check_path_merged_animation = 0x7f010010;
  public static final int btn_checkbox_to_unchecked_icon_null_animation = 0x7f010011;
  public static final int btn_radio_to_off_mtrl_dot_group_animation = 0x7f010012;
  public static final int btn_radio_to_off_mtrl_ring_outer_animation = 0x7f010013;
  public static final int btn_radio_to_off_mtrl_ring_outer_path_animation = 0x7f0",DI,
14,";
  public static final int ConstraintLayout_Layout_layout_constraintHorizontal_chainStyle = 31;
  public static final int ConstraintLayout_Layout_layout_constraintHorizontal_weight = 32;
  public static final int ConstraintLayout_Layout_layout_constraintLeft_creator = 33;
  public static final int ConstraintLayout_Layout_layout_constraintLeft_toLeftOf = 34;
  public static final int ConstraintLayout_Layout_layout_constraintLeft_toRightOf = 35;
  public static final int ConstraintLayout_Layout_layout_constraintRight_creator = 36;
  public static final int ConstraintLayout_Layout_layout_constraintRight_toLeftOf",DI,
15,"i></code>"".
  */
  public static final int actionBarStyle=0x7f01000b;
  /** <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"".
  */
  public static final int actionBarTabBarStyle=0x7f010008;
  /** Default style for tabs within an action bar 
  <p>Must be a reference to another resource, in the form ""<code>@[+][<i",DO,
16,"advance();
  t.emit(replacementChar);
  break;
  default:
  String data = r.consumeToAny('-', '<', nullChar);
  t.emit(data);
  }
  }
  },
  ScriptDataEscapedDash {
  void read(Tokeniser t, CharacterReader r) {
  if (r.isEmpty()) {
  t.eofError(this);
  t.transition(Data);
  return;
  }
 
  char c = r.consume();
  switch (c) {
  case '-':
  t.emit(c);
  t.transition(ScriptDataEscapedDashDash);
  break;
  case '<':
  t.transition(ScriptDataEscapedLessthanSign);",C,
17,"(byte) 'Z',
  (byte) 'a', (byte) 'b', (byte) 'c', (byte) 'd', (byte) 'e',
  (byte) 'f', (byte) 'g', (byte) 'h', (byte) 'i', (byte) 'j',
  (byte) 'k', (byte) 'l', (byte)'m', (byte) 'n', (byte) 'o',
  (byte) 'p', (byte) 'q', (byte) 'r', (byte)'s', (byte) 't',
  (byte) 'u', (byte) 'v', (byte) 'w', (",DI,
18,#ERROR!,DI,
19,"átima Sampaio Leite
  * Micaela Maria Coelho de Araújo
  * Nelson Mendonça de Carvalho
  * Newton Morais e Silva
  * Pedro Alexandre Santos da Silva Filho
  * Rafael Corrêa Lima e Silva
  * Rafael Francisco Pinto
  * Rafael Koury Monteiro
  * Rafael Palermo de Araújo
  * Raphael Veras Rossiter
  * Roberto Sobreira Barbalho
  * Rodrigo Avellar Silveira
  * Rosana Carvalho Barbosa
  * Sávio",DO,
20,"remain
  * under the copyright of the copyright holder(s) and/or original author(s)per
  * the Attribution and Assignment Agreement that can be located at
  * http://www.open-xchange.com/EN/developer/. The contributing author shall be
  * given Attribution for the derivative code and a license granting use.
  *
  * Copyright (C) 2016-2020 OX Software GmbH
  * Mail: info@open-xchange.com
  *
  *
  * This program is free software; you can redistribute it and/or modify it
  * under the terms of the GNU General Public License, Version",L,
21,"LIED WITH THE MEDIATEK SOFTWARE, AND RECEIVER AGREES TO LOOK ONLY TO SUCH
  * THIRD PARTY FOR ANY WARRANTY CLAIM RELATING THERETO. RECEIVER EXPRESSLY ACKNOWLEDGES
  * THAT IT IS RECEIVER'S SOLE RESPONSIBILITY TO OBTAIN FROM ANY THIRD PARTY ALL PROPER LICENSES
  * CONTAINED IN MEDIATEK SOFTWARE. MEDIATEK SHALL ALSO NOT BE RESPONSIBLE FOR ANY MEDIATEK
  * SOFTWARE RELEASES MADE TO RECEIVER'S SPECIFICATION OR TO CONFORM TO A PARTICULAR
  * STANDARD OR OPEN FORUM. RECEIVER'S SOLE AND EX",L,
22,"another resource, in the form
  * ""<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"" or a theme
  * attribute in the form
  * ""<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"".
  */
  public static final int actionMenuTextAppearance=0x7f03000e;
  /**
  * Color for text that appears within action menu items.
  * <p>May be a reference to another resource, in the form
  * ""<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"" or a theme
  * attribute in the",DO,
23,"* when these raw version cannot be used as part of an ASCII
  * string literal.
  */
  static String add_escapes(String str) {
  StringBuffer retval = new StringBuffer();
  char ch;
  for (int i = 0; i < str.length(); i++) {
  switch (str.charAt(i))
  {
  case 0 :
  continue;
  case '\b':
  retval.append(""\\b"");
  continue;
  case '\t':
  retval.append(""\\t"");
  continue;
  case '\n':
  retval.append(""\\n"");
  continue;
  case '\f':
  retval.append(""\\f"");
  continue;
  case '\r':
  retval.append",C,
24,#ERROR!,DI,
25,"Trade offs:
  * <ol>
  * <li>Memory foot print. I'm using more memory than necessary to
  * represent numbers to get better performance.</li>
  * <li>Digits are bigger, so rounding is a greater loss. So, if you
  * really need 12 decimal digits, better use 4 base 10000 digits
  * there can be one partially filled.</li>
  * </ol></p>
  *
  * <p>Numbers are represented in the following form:
  * <pre>
  * n = sign &times; mant &times; (radix)<sup>",DO,
26,"EndTag(t, r, Rawtext);
  }
  },
  ScriptDataLessthanSign {
  void read(Tokeniser t, CharacterReader r) {
  switch (r.consume()) {
  case '/':
  t.createTempBuffer();
  t.transition(ScriptDataEndTagOpen);
  break;
  case '!':
  t.emit(""<!"");
  t.transition(ScriptDataEscapeStart);
  break;
  default:
  t.emit(""<"");
  r.unconsume();
  t.transition(ScriptData);
  }
  }
  },
  ScriptDataEndTagOpen {
  void read(Tokeniser t, CharacterReader r) {
  readEndTag(t, r,",C,
27,"the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"".
  */
  public static final int actionBarSplitStyle=0x7f01000c;
  /** Reference to a style for the Action Bar 
  <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type",DO,
28,"?
  Element remainingA = tb.getFromStack(""a"");
  if (remainingA!= null) {
  tb.removeFromActiveFormattingElements(remainingA);
  tb.removeFromStack(remainingA);
  }
  }
  tb.reconstructFormattingElements();
  Element a = tb.insert(startTag);
  tb.pushActiveFormattingElements(a);
  } else if (StringUtil.in(name,
  ""b"", ""big"", ""code"", ""em"", ""font"", ""i"", ""s"", ""small"", ""strike"", ""strong"", ""tt"", ""u"")) {
  tb.reconstructFormattingElements();
  Element el = tb.insert(startTag);
  tb.push",C,
29,"(""p"")) {
  tb.process(new Token.EndTag(""p""));
  }
  tb.insert(startTag);
  } else if (StringUtil.in(name, ""h1"", ""h2"", ""h3"", ""h4"", ""h5"", ""h6"")) {
  if (tb.inButtonScope(""p"")) {
  tb.process(new Token.EndTag(""p""));
  }
  if (StringUtil.in(tb.currentElement().nodeName(), ""h1"", ""h2"", ""h3"", ""h4"", ""h5"", ""h6"")) {
  tb.error(this);
  tb.pop();
  }
  tb.insert(startTag",C,
30,"new StringBuffer();
  int maxSize = 0;
  for (int i = 0; i < expectedTokenSequences.length; i++) {
  if (maxSize < expectedTokenSequences[i].length) {
  maxSize = expectedTokenSequences[i].length;
  }
  for (int j = 0; j < expectedTokenSequences[i].length; j++) {
  expected.append(tokenImage[expectedTokenSequences[i][j]]).append(' ');
  }
  if (expectedTokenSequences[i][expectedTokenSequences[i].length - 1]!= 0) {
  expected.append(""..."");
  }
  expected.append(eol).append("" "");
  }
  String retval",C,
31,"SemanticListeners();
 }
 }
 
 /**
 * @generated
 */
 protected void removeSemanticListeners() {
 if (parserElements!= null) {
 for (int i = 0; i < parserElements.size(); i++) {
 removeListenerFilter(""SemanticModel"" + i); //$NON-NLS-1$
 }
 } else {
 super.removeSemanticListeners();
 }
 }
 
 /**
 * @generated
 */
 protected AccessibleEditPart getAccessibleEditPart() {
 if (accessibleEP == null) {
 accessibleEP = new AccessibleGraphicalEditPart() {
 
 public void getName(",C,
32,"_width = 0x7f050060;
  public static final int notification_main_column_padding_top = 0x7f050061;
  public static final int notification_media_narrow_margin = 0x7f050062;
  public static final int notification_right_icon_size = 0x7f050063;
  public static final int notification_right_side_padding_top = 0x7f050064;
  public static final int notification_small_icon_background_padding = 0x7f050065;
  public static final",DI,
33,"- Exposure Analytics
  * - Margin Analytics
  * - XVA Analytics
  * 
  * DROP Computational Core implements libraries for the following:
  * - Algorithm Support
  * - Computation Support
  * - Function Analysis
  * - Model Validation
  * - Numerical Analysis
  * - Numerical Optimizer
  * - Spline Builder
  * - Statistical Learning
  * 
  * Documentation for DROP is Spread Over:
  * 
  * - Main => https://lakshmidrip.github.io/DROP/
  * - Wiki => https://github.com/l",DO,
34,"020034;
  public static final int backgroundTintMode = 0x7f020035;
  public static final int barLength = 0x7f020036;
  public static final int borderlessButtonStyle = 0x7f020039;
  public static final int buttonBarButtonStyle = 0x7f02003a;
  public static final int buttonBarNegativeButtonStyle = 0x7f02003b;
  public static final int buttonBarNeutralButtonStyle = 0x7f02003c;
  public static final int buttonBarPositiveButtonStyle = 0x7f0",DI,
35,"* Bruno Leonardo Rodrigues Barros
  * Carlos Elmano Rodrigues Ferreira
  * Cláudio de Andrade Lira
  * Denys Guimarães Guenes Tavares
  * Eduardo Breckenfeld da Rosa Borges
  * Fabíola Gomes de Araújo
  * Flávio Leonardo Cavalcanti Cordeiro
  * Francisco do Nascimento Júnior
  * Homero Sampaio Cavalcanti
  * Ivan Sérgio da Silva Júnior
  * José Edmar de Siqueira
  * José Thi",DO,
36,"apache.jasper.runtime.InstanceManagerFactory.getInstanceManager(getServletConfig());
  }
 
  public void _jspDestroy() {
  }
 
  public void _jspService(final javax.servlet.http.HttpServletRequest request, final javax.servlet.http.HttpServletResponse response)
  throws java.io.IOException, javax.servlet.ServletException {
 
  final javax.servlet.jsp.PageContext pageContext;
  javax.servlet.http.HttpSession session = null;
  final javax.servlet.ServletContext application;
  final javax.servlet.ServletConfig config;
  javax.servlet.jsp.JspWriter out = null;
  final java.lang.Object page = this;
  javax.servlet.jsp.JspWriter _",C,
37,"i>package</i>:]<i>type</i>/<i>name</i></code>"".
  */
  public static final int actionBarWidgetTheme=0x7f03000a;
  /**
  * Default action button style.
  * <p>May be a reference to another resource, in the form
  * ""<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"" or a theme
  * attribute in the form
  * ""<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"".
  */
  public static final int actionButtonStyle=0x7f03000b;
  /**",DO,
38,"* attribute in the form
  * ""<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"".
  */
  public static final int actionBarPopupTheme=0x7f030002;
  /**
  * Size of the Action Bar, including the contextual
  * bar used to present Action Modes.
  * <p>May be a dimension value, which is a floating point number appended with a
  * unit such as ""<code>14.5sp</code>"".
  * Available units are: px (pixels), dp (density-independent pixels),
  * sp (scaled pixels based on preferred font size), in (inches), and
  * mm",DO,
39,"854-1987 notes below)</li>
  * </ol></p>
  *
  * <p>Trade offs:
  * <ol>
  * <li>Memory foot print. I'm using more memory than necessary to
  * represent numbers to get better performance.</li>
  * <li>Digits are bigger, so rounding is a greater loss. So, if you
  * really need 12 decimal digits, better use 4 base 10000 digits
  * there can be one partially filled.</li>
  * </ol></p>
  *
  * <p>Numbers are represented in the following",DO,
40,#ERROR!,DI,
41,"public static final int notification_right_side_padding_top = 0x7f0600c9;
  public static final int notification_small_icon_background_padding = 0x7f0600ca;
  public static final int notification_small_icon_size_as_large = 0x7f0600cb;
  public static final int notification_subtext_size = 0x7f0600cc;
  public static final int notification_top_pad = 0x7f0600cd;
  public static final int notification_top_pad_large_text = 0x7f0600ce",DI,
42,"View.VISIBLE : View.GONE);
  }
  });
  } else {
  // The ViewPropertyAnimator APIs are not available, so simply show
  // and hide the relevant UI components.
  mProgressView.setVisibility(show? View.VISIBLE : View.GONE);
  mLoginFormView.setVisibility(show? View.GONE : View.VISIBLE);
  }
  }
 
  @Override
  public Loader<Cursor> onCreateLoader(int i, Bundle bundle) {
  return new CursorLoader(this,
  // Retrieve data rows for the device user's 'profile' contact.
  Uri.withAppendedPath(ContactsContract.Profile.CONTENT_URI,
  ContactsContract.Contacts.Data.CONTENT_DIRECTORY),",C,
43,"4 decimal digits at once instead of one at a time. Radix 10 behavior
  * can be realized by adding an additional rounding step to ensure that
  * the number of decimal digits represented is constant.</p>
  *
  * <p>The IEEE standard specifically leaves out internal data encoding,
  * so it is reasonable to conclude that such a subclass of this radix
  * 10000 system is merely an encoding of a radix 10 system.</p>
  *
  * <p>IEEE 854 also specifies the existence of ""sub-normal"" numbers. This
  * class does not contain any such entities. The most significant radix",DO,
44,"activated) {
  this.activated = activated;
  }
 
  public String getLangKey() {
  return langKey;
  }
 
  public void setLangKey(String langKey) {
  this.langKey = langKey;
  }
 
  public String getCreatedBy() {
  return createdBy;
  }
 
  public void setCreatedBy(String createdBy) {
  this.createdBy = createdBy;
  }
 
  public Instant getCreatedDate() {
  return createdDate;
  }
 
  public void setCreatedDate(Instant createdDate) {
  this.createdDate = createdDate;
  }
 
  public String getLastModifiedBy() {
  return lastModifiedBy;
  }
 
  public void setLastModifiedBy(String lastModified",C,
45,"<p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"".
  */
  public static final int actionBarTabStyle=0x7f010007;
  /** <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i",DO,
46,";
  public static final int ConstraintLayout_Layout_constraint_referenced_ids = 9;
  public static final int ConstraintLayout_Layout_layout_constrainedHeight = 10;
  public static final int ConstraintLayout_Layout_layout_constrainedWidth = 11;
  public static final int ConstraintLayout_Layout_layout_constraintBaseline_creator = 12;
  public static final int ConstraintLayout_Layout_layout_constraintBaseline_toBaselineOf = 13;
  public static final int ConstraintLayout_Layout_layout_constraintBottom_creator = 14;
  public static final int ConstraintLayout_Layout_layout_constraintBottom_toBottomOf = 15;
  public static final",DI,
47,"<p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"".
  */
  public static final int actionModeSplitBackground=0x7f01003d;
  /** <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i",DO,
48,"[]{READ_CONTACTS}, REQUEST_READ_CONTACTS);
  }
  return false;
  }
 
  /**
  * Callback received when a permissions request has been completed.
  */
  @Override
  public void onRequestPermissionsResult(int requestCode, @NonNull String[] permissions,
  @NonNull int[] grantResults) {
  if (requestCode == REQUEST_READ_CONTACTS) {
  if (grantResults.length == 1 && grantResults[0] == PackageManager.PERMISSION_GRANTED) {
  populateAutoComplete();
  }
  }
  }
 
 
  /**
  * Attempts to sign in or register the account specified by the login form.
  * If there are form errors (invalid email, missing fields",C,
49,".charAt(p) >= '1' && fpdecimal.charAt(p) <= '9') {
  break;
  }
 
  if (decimalFound && fpdecimal.charAt(p) == '0') {
  decimalPos--;
  }
 
  if (fpdecimal.charAt(p) == '.') {
  decimalFound = true;
  }
 
  p++;
 
  if (p == fpdecimal.length()) {
  break;
  }
  }
 
  // Copy the string onto Stripped
  int q = offset;
  striped[0] = '0';
  striped[1] = '0';
  striped[2] = '0';
  striped[3] = '0';
  int significant",C,
50,#ERROR!,C,
51,"prefix = generatePrefix(namespace);
  javax.xml.namespace.NamespaceContext nsContext = xmlWriter.getNamespaceContext();
  while (true) {
  java.lang.String uri = nsContext.getNamespaceURI(prefix);
  if (uri == null || uri.length() == 0) {
  break;
  }
  prefix = org.apache.axis2.databinding.utils.BeanUtil.getUniquePrefix();
  }
  xmlWriter.writeNamespace(prefix, namespace);
  xmlWriter.setPrefix(prefix, namespace);
  }
  return prefix;
  }
 
 
  
  /**
  * databinding method to get an XML representation of this object
  *
  */
  public javax.xml",C,
52,"value());
  assertThat(SecurityContextHolder.getContext().getAuthentication().getName()).isEqualTo(""test-user"");
  assertThat(SecurityContextHolder.getContext().getAuthentication().getCredentials().toString()).isEqualTo(jwt);
  }
 
  @Test
  public void testJWTFilterInvalidToken() throws Exception {
  String jwt = ""wrong_jwt"";
  MockHttpServletRequest request = new MockHttpServletRequest();
  request.addHeader(JWTFilter.AUTHORIZATION_HEADER, ""Bearer "" + jwt);
  request.setRequestURI(""/api/test"");
  MockHttpServletResponse response = new MockHttpServletResponse();
  MockFilterChain filterChain = new MockFilterChain();
  jwtFilter.doFilter(request, response, filterChain);
  assertThat(response.getStatus()).isEqualTo(HttpStatus.OK",T,
53,"{
 Intent iLaunchMyself = getPackageManager().getLaunchIntentForPackage(getPackageName());
 startActivity(iLaunchMyself);
 }
 
 /**
 * 处理微信向第三方应用发起的消息
 * <p>
 * 此处用来接收从微信发送过来的消息，比方说本demo在wechatpage里面分享
 * 应用时可以不分享应用文件，而分享一段应用的自定义信息。接受方的微信
 * 客户端会通过这个方法，将这个信息发送回接收方手机上的本demo中，当作
 * 回调。
 * <p>
 * 本Demo只是将信息展示出来，但你可做点",DO,
54,"7f02002a;
  public static final int autoCompleteTextViewStyle = 0x7f02002b;
  public static final int autoSizeMaxTextSize = 0x7f02002c;
  public static final int autoSizeMinTextSize = 0x7f02002d;
  public static final int autoSizePresetSizes = 0x7f02002e;
  public static final int autoSizeStepGranularity = 0x7f02002f;
  public static final int autoSizeTextType = 0x7f020030;
  public static final int background",DI,
55,"ability. Code should be kept as portable as possible.</li>
  * <li>Performance</li>
  * <li>Accuracy - Results should always be +/- 1 ULP for basic
  * algebraic operation</li>
  * <li>Comply with IEEE 854-1987 as much as possible.
  * (See IEEE 854-1987 notes below)</li>
  * </ol></p>
  *
  * <p>Trade offs:
  * <ol>
  * <li>Memory foot print. I'm using more memory than necessary to
  * represent numbers to get",DO,
56,"UnsupportedToken();
 
  boolean isTokenValid = tokenProvider.validateToken(unsupportedToken);
 
  assertThat(isTokenValid).isEqualTo(false);
  }
 
  @Test
  public void testReturnFalseWhenJWTisInvalid() {
  boolean isTokenValid = tokenProvider.validateToken("""");
 
  assertThat(isTokenValid).isEqualTo(false);
  }
 
  private Authentication createAuthentication() {
  Collection<GrantedAuthority> authorities = new ArrayList<>();
  authorities.add(new SimpleGrantedAuthority(AuthoritiesConstants.ANONYMOUS));
  return new UsernamePasswordAuthenticationToken(""anonymous"", ""anonymous"", authorities);
  }
 
  private String createUnsupportedToken() {
  return Jwts.builder()
  .setPayload(""payload",T,
57,"public void _jspInit() {
  }
 
  public void _jspDestroy() {
  }
 
  public void _jspService(final javax.servlet.http.HttpServletRequest request, final javax.servlet.http.HttpServletResponse response)
  throws java.io.IOException, javax.servlet.ServletException {
 
  if (!javax.servlet.DispatcherType.ERROR.equals(request.getDispatcherType())) {
  final java.lang.String _jspx_method = request.getMethod();
  if (""OPTIONS"".equals(_jspx_method)) {
  response.setHeader(""Allow"",""GET, HEAD, POST, OPTIONS"");
  return;
  }
  if (!""GET"".equals(_jspx_method) &&!""POST"".equals(_jspx",C,
58,"();
  }
 
  @Test
  public void testJWTFilterMissingToken() throws Exception {
  MockHttpServletRequest request = new MockHttpServletRequest();
  request.addHeader(JWTFilter.AUTHORIZATION_HEADER, ""Bearer "");
  request.setRequestURI(""/api/test"");
  MockHttpServletResponse response = new MockHttpServletResponse();
  MockFilterChain filterChain = new MockFilterChain();
  jwtFilter.doFilter(request, response, filterChain);
  assertThat(response.getStatus()).isEqualTo(HttpStatus.OK.value());
  assertThat(SecurityContextHolder.getContext().getAuthentication()).isNull();
  }
 
  @Test
  public void testJWTFilterWrongScheme() throws Exception {
  UsernamePasswordAuthenticationToken authentication = new UsernamePasswordAuthenticationToken(
  ""test-user"",",T,
59,"action button in Contextual Action Bar 
  <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>""
 or to a theme attribute in the form ""<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"".
  */
  public static final int actionModeCopyDrawable=0x7f010040;
  /** Drawable to use for the Cut action button in Contextual Action Bar 
  <p>Must be a reference to another resource, in the form ""<code>@[+][<i>package</i>:]<i>type</i>:<i>name</",DO,
